Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S106632690,Canada Goose,Branta canadensis,324,1,US-KS,Johnson,L209591,KCP&L Wetlands,38.8014777,-94.9418021,2022-04-09,02:04 PM,eBird - Traveling Count,26,0,1.416,,1
S127132261,Canada Goose,Branta canadensis,324,1,US-KS,Johnson,L209591,KCP&L Wetlands,38.8014777,-94.9418021,2023-01-28,04:20 PM,eBird - Traveling Count,21,1,1.336,,1
S109361137,Canada Goose,Branta canadensis,324,2,US-KS,Johnson,L899104,Kill Creek Park,38.9148951,-94.9728155,2022-05-08,12:45 PM,eBird - Traveling Count,101,1,5.343,,2
S110971658,Canada Goose,Branta canadensis,324,7,US-KS,Johnson,L1196180,Lake Lenexa & Black Hoof Park,38.9644909,-94.8400998,2022-05-22,10:31 AM,eBird - Traveling Count,75,1,6.325,,2
S122935944,Canada Goose,Branta canadensis,324,4,US-KS,Johnson,L1196180,Lake Lenexa & Black Hoof Park,38.9644909,-94.8400998,2022-11-24,09:54 AM,eBird - Traveling Count,46,1,3.122,,2
S129738844,Canada Goose,Branta canadensis,324,4,US-KS,Johnson,L1196180,Lake Lenexa & Black Hoof Park,38.9644909,-94.8400998,2023-02-26,04:41 PM,eBird - Traveling Count,90,0,3.331,,6
S133838242,Canada Goose,Branta canadensis,324,6,US-KS,Johnson,L1196180,Lake Lenexa & Black Hoof Park,38.9644909,-94.8400998,2023-04-15,10:04 AM,eBird - Traveling Count,88,1,5.118,,2
S122669176,Canada Goose,Branta canadensis,324,50,US-KS,Osage,L3502103,Melvern Lake--Dam,38.5145669,-95.7134163,2022-11-19,11:18 AM,eBird - Traveling Count,126,1,15.707,,4
S135488013,Canada Goose,Branta canadensis,324,1,US-IA,Polk,L1740105,Gray's Lake Park,41.5704405,-93.6396338,2023-04-29,06:15 PM,eBird - Traveling Count,44,1,1.77,,4
S110090823,Canada Goose,Branta canadensis,324,9,US-MO,Saline,L351943,Van Meter (Annie and Abel) SP,39.2645472,-93.2669858,2022-05-14,11:38 AM,eBird - Traveling Count,220,1,1.883,,4
